Name,type,ratings,latitude,longitude,place_id
Steffen Y Asociados Asesoramiento Contable - Impositivo,accounting,1,-31.449447,-60.9322429,ChIJx8JPCz0TtZURNpQojTBqng8
Magnolo,meal_takeaway,4,-31.4494709,-60.9325021,ChIJ3cFKBT0TtZURXiH0cJvBUpw
Estudio Contable Impositivo Y Laboral San Martin,accounting,0,-31.4500022,-60.9317633,ChIJWQu_bj0TtZUR2quAGneS3gk
Maria Paz Indumentaria femenina,clothing_store,25,-31.4499872,-60.931759,ChIJ0bCwbj0TtZURSvNhiSCiEe0
CEP Centro de Estetica Profesional,beauty_salon,25,-31.4494836,-60.9319614,ChIJMwWUcz0TtZURvHx9ydw9Q1E
Hotel Castellón,lodging,395,-31.4493423,-60.9323976,ChIJw3qAcz0TtZURkpf-ck8oNe4
CASTEL BAR,restaurant,22,-31.4493423,-60.9323976,ChIJnVd7mBATtZURPgTOyibH3xM
CEP Esperanza,shopping_mall,4,-31.4489348,-60.9324711,ChIJm7OIABUTtZUR4sww1oxkSTI
Anabé,clothing_store,2,-31.448739,-60.9323919,ChIJsyasoz0TtZURNJ4XlNYMSM8
Alma Turismo,travel_agency,9,-31.4484087,-60.9321882,ChIJH2Wwoj0TtZURhVTZclUgtkA
María Florencia Peluquería,hair_care,1,-31.4484687,-60.9322188,ChIJiwZ5qHMTtZURQAsl_34wbnI
O.S.E.C.A.C,doctor,0,-31.4483613,-60.9324245,ChIJm_pavD0TtZUR-Rafwk_BLEE
Correo,post_office,0,-31.4485003,-60.9320878,ChIJZ0kimD0TtZUR8YVi5JwOF6k
Mis Marias Indumentaria Femenina Para Adolescentes Y Adultos,clothing_store,0,-31.4482278,-60.9322479,ChIJ-9CUvT0TtZURKLajB2gpaPM
Tao Pilcheria,clothing_store,0,-31.4476457,-60.9320393,ChIJkUqrkksTtZUR01224bbRm9Y
Veterinaria San Roque,grocery_or_supermarket,0,-31.4477459,-60.9319216,ChIJMx6WWFQTtZURgvrWuMa40Fg
Consultorio Dental Alejandro Martínez Peleato,dentist,1,-31.4474767,-60.9320124,ChIJcVBHCDMTtZURq7fzIrqifl0
Oso Verde,clothing_store,0,-31.4476928,-60.9317673,ChIJA1e67D0TtZURB8EjomEQASA
Salón Sociedad Rural de Las Colonias,night_club+bar,24,-31.4473912,-60.9319836,ChIJyVhz6T0TtZUR9zEox8DFijU
Trod Guillermina Odontologa - Ortodoncista,dentist,0,-31.4472949,-60.9319457,ChIJZ3Hi6D0TtZURbj-v8J4AHr0
DIETETICA BIO DIET,shopping_mall,35,-31.4468214,-60.9318576,ChIJf3Ov5j0TtZURELCqDm3uj0A
Automotores Collomb,car_dealer,8,-31.4457603,-60.931983,ChIJBQOdAz0TtZURZFX7T_hp0BA
Casa Juli,lodging,1,-31.4453513,-60.9324311,ChIJjZiwCzMTtZURSds4bHz5S6I
AUTOTECNICA SVRIZ - MECANICA EN GENERAL,car_repair,9,-31.4446165,-60.932086,ChIJBQOdAz0TtZURw5MTf8GlnJQ
Centro Almaceneros Minoristas,grocery_store,0,-31.4540443,-60.9314031,ChIJ2fvOhyITtZURMvptpE1aBBA
Pontarelli Rodados,bicycle_store,0,-31.4526816,-60.9316162,ChIJBy1NAz0TtZUR2ae1wvvOQo4
Reina Mora,beauty_salon,16,-31.4528867,-60.931662,ChIJ6dAftBcTtZURSNsVXP29VCU
Pontina Bicicleteria,bicycle_store,126,-31.4526393,-60.9315802,ChIJGxvIvCITtZUR05TBKsNOtqs
Flecha Bus,travel_agency,10,-31.4533714,-60.9312352,ChIJkQREmiITtZURSlwRW3_rWqY
Isa,clothing_store,2,-31.4524458,-60.9315315,ChIJNx8luyITtZURHuRANbkpaiA
Jose C Brero,dentist,20,-31.4521961,-60.9313837,ChIJ12zzryITtZUR4jSjp4cgLBc
London Jeans,clothing_store,1,-31.4521456,-60.9313683,ChIJ-x2VryITtZURQAS2pvjzjEc
Carniceria Deppeler,butcher_shop,7,-31.4524433,-60.9313,ChIJ-7L0pCITtZURnpHZ2VBTCXE
Bazar J & S Gastronómico Hogar,furniture_store+home_goods_store,0,-31.4522594,-60.9312048,ChIJe0G-pSITtZURU9gradfdiT8
Despensa El Angel,grocery_store,7,-31.4519515,-60.9313087,ChIJIWFnriITtZUR0RrDfgLwIJ0
Maxi Kiosco El Angel 24hs,kiosk,14,-31.4518176,-60.9313902,ChIJe3DrrSITtZURD2FRNPG7KYs
Las Palmio,clothing_store,6,-31.4517463,-60.9312251,ChIJX9BFrCITtZURLPmU3wEsne4
Banco Santa Fé,bank,0,-31.4505309,-60.9313632,ChIJ5UT_YN4TtZUREoMTL1op1PQ
Multitecnoesperanza,electronics_store,52,-31.4503673,-60.9316281,ChIJo8Q7Qj0TtZURuNMIXAt5CN8
Gaesa - Grandes Almacenes Esperanza - Construccion Y Ferreteria,grocery_store,96,-31.450161,-60.931766,ChIJOQVxaT0TtZURC_AS9aXTt3w
Cajero Automatico Link Bco Santa Fe,bank,2,-31.4504,-60.9315803,ChIJoTzsQj0TtZUR_gxBZHfF1Zo
Calzados Fontanini,shoe_store,15,-31.4502894,-60.9317946,ChIJjSsbaj0TtZURvoSczFctiAw
Museo de la Colonización,museum,112,-31.4504564,-60.9313368,ChIJFQeVXD0TtZURyLscKzt7JnE
Valmotors FIAT,car_dealer,12,-31.4497233,-60.9315294,ChIJy6YwcD0TtZURqKJ24DsD3ec
Municipalidad de Esperanza,local_government_office,18,-31.4498443,-60.9312095,ChIJ79qKYz0TtZURZc1h5bHXa9E
Kiosco Mayo,kiosk,6,-31.4495393,-60.9316355,ChIJ9-xScD0TtZURjBNChm0n088
El Hornerito SRL,clothing_store,3,-31.449625,-60.9317074,ChIJ3cFKBT0TtZURxOBF2LiRNx8
Kiosco El tunel,kiosk,10,-31.4497641,-60.9313605,ChIJx7fjbz0TtZURqc9r0A2wZ6Y
Mati´s,shoe_store,1,-31.44956,-60.9313039,ChIJ375XZT0TtZURbVCVbETpY5I
Casa Bode SRL,book_store,190,-31.4492069,-60.9316482,ChIJ3cFKBT0TtZURZEZEJ7b1oFI
Jump - Indumentaria Deportiva y Trajes de Baño,clothing_store,5,-31.4488216,-60.931786,ChIJBQOdAz0TtZURuU9jVfVVMFk
Pizza Days,restaurant,375,-31.449062,-60.9315591,ChIJI6qJdz0TtZURLHh4NoYXX7U
Yakarta Viajes,travel_agency,9,-31.4485588,-60.9316524,ChIJ64kHmz0TtZUREeKiS_pRCvs
Farmacia Limaiche,pharmacy,2,-31.4485569,-60.9315609,ChIJkSDIhT0TtZURKPdn9Wwyb-M
Coquetas,clothing_store,0,-31.4485795,-60.9314195,ChIJTwCqgz0TtZURUQEkgswCT_g
Alesso & Müller Abogados,lawyer,1,-31.4479236,-60.9313002,ChIJ_YzNjT0TtZURBCwHRZgxCnA
Club Social,restaurant,96,-31.4480599,-60.9312969,ChIJDfb30xcTtZURXIjpFSTqVSY
Roger,clothing_store,6,-31.4482639,-60.9312646,ChIJfUZ-jz0TtZUR_MuWID2LUBM
Joyería y relojería Garibaldi,jewelry_store,13,-31.4484249,-60.931399,ChIJbZNAhD0TtZURj055QSpMB7k
AJ JOYAS,jewelry_store,5,-31.4484409,-60.9313747,ChIJTcKWmz0TtZUR2YG6TAOQm2w
Kiosko Billy,kiosk,1,-31.4477571,-60.9316275,ChIJL-rdkj0TtZURE-TBpdhuZEo
Santa Rita,clothing_store,1,-31.4484722,-60.9313848,ChIJNY2Fgz0TtZUR4-A79qcrs-A
Ana c. diseño & decoración,furniture_store+home_goods_store,23,-31.4477396,-60.9315571,ChIJLZnHkj0TtZURXoDS6GAViHA
Selfie TEENS,clothing_store,2,-31.4479149,-60.9312553,ChIJZVwjiT0TtZUR9TEJ9ZfHuag
Snack Rico y Rápido (Esperanza),restaurant,15,-31.4481141,-60.9310931,ChIJMe3APh0TtZURQFRPCO-GXDk
Clínica 3 De Febrero,doctor,1,-31.447222,-60.9313234,ChIJe66i8T0TtZURO0sdSpLtb8A
El Pasillo,gym,12,-31.4468316,-60.9317721,ChIJtRYX5D0TtZUR6nB3bwk9cgI
La Posta de la Papa,grocery_or_supermarket,1,-31.4466546,-60.9318041,ChIJ8V6Rm-cTtZURizk9a4_KBJY
Centro Medico de Diagnostico Y Tratamiento,doctor,0,-31.4468775,-60.9313389,ChIJB47u-j0TtZUR1642dWv6NYU
Aura Lenceria Erotica,clothing_store,10,-31.4456648,-60.9314015,ChIJyxqxGj4TtZURccqhntC3AE0
LeSeitán | Alimentos Vegetales,grocery_or_supermarket,0,-31.4456692,-60.9313837,ChIJY_tSHzMTtZURGUzTDPbasRM
Florería Mutazzi,florist,22,-31.4456692,-60.9313837,ChIJBy1NAz0TtZURKkD8cGgwXC4
Cosa de Chicos,clothing_store,3,-31.4541253,-60.9311038,ChIJfW5rLiQTtZURdce5llByP2w
Seguros Pianetti,insurance_agency,0,-31.4538545,-60.9307914,ChIJs__MgSITtZURZ33Pji-0IDQ
Garces Cristian,hair_care,36,-31.4545351,-60.9309546,ChIJ3cFKBT0TtZURlxdAY-U8_8A
Valen peluqueria,hair_care,4,-31.4532698,-60.9309491,ChIJ4fnCnCITtZURqZW2FWRP8N4
Daperno & Asociados,real_estate_agency,28,-31.4532733,-60.9307719,ChIJExPgbzkTtZUR8OrMSuhqZf4
Un Mundo De Frutas Y Verduras 2,fruit_and_vegetable_store,0,-31.4532714,-60.9307321,ChIJ-47fdxgTtZURA-lZ4hCOMyk
Service Rivadavia,electronics_store,25,-31.4532285,-60.9307017,ChIJkVC-dxgTtZURqPbsvyDwh7g
distribuidora esperanza,supermarket+grocery_or_supermarket,1,-31.4525851,-60.9309217,ChIJ0ROwMrUTtZURCsZX6eR25A0
Peluqueria ¨Quique¨,hair_care,1,-31.4524119,-60.9305153,ChIJfcW3CxgTtZURnCLfRqH87vI
Acastello y Rosso Esperanza Sepelios,funeral_home,3,-31.4515554,-60.9308625,ChIJX6FdV_0RtZUR7X26MLHU2R8
Librería Manantial,book_store,46,-31.4510603,-60.9309557,ChIJZeYcVD0TtZURulG7yQduRVw
El Lazo - Alquiler temporario,lodging,19,-31.4513383,-60.9310986,ChIJdXRSzQITtZURRJEdGoDpVwI
Blazicevic Martin Productor Asesor de Seguros,insurance_agency,0,-31.4511866,-60.9310328,ChIJFRcaVD0TtZURe5FBdIEw9N8
Casa Fontana Ferreteria,hardware_store,81,-31.4509711,-60.9308501,ChIJBQOdAz0TtZURnIRbRrQe79s
Maitess Esperanza,furniture_store+home_goods_store,18,-31.4503469,-60.9306984,ChIJw8enShYTtZURJvRoMaSYAPc
Fermín Calzados,shoe_store,8,-31.4503904,-60.9308406,ChIJTYfrLxYTtZURiS29lMmti-E
Neylan,shopping_mall,2,-31.450228,-60.9309066,ChIJJcK2Xz0TtZURsfVuVvciG18
Royal Café,restaurant+bar,1078,-31.4498731,-60.9308384,ChIJtVc83xcTtZURfUxRo6TnsCM
Libreria Arquidiocesana Pablo VI,book_store,0,-31.4500045,-60.9307196,ChIJBQOdAz0TtZURwT3x1E39bFU
Allegra Viajes,travel_agency,3,-31.4499915,-60.9306965,ChIJ3cFKBT0TtZURvobAZLBfX_Y
Nissi,clothing_store,1,-31.4500815,-60.930633,ChIJpfeRLxYTtZURHfHXJkAWGV4
Corty List,furniture_store+home_goods_store,0,-31.4485421,-60.9312127,ChIJ2QNuhD0TtZURDeGilxQCjms
Menta Food&Roll,bar,545,-31.4475745,-60.9308938,ChIJLUwWiz0TtZUR7OPFIUCJcXo
Cositas Almacén De Regalos,grocery_store,136,-31.4474775,-60.9309909,ChIJ5yUvCD0TtZURadiNZ-o2iPY
Cajero Automático Banco Galicia,atm,0,-31.4477793,-60.930899,ChIJYZrhup0TtZURbQYa98Lo6u0
Banco Galicia - Sucursal Esperanza,bank,5,-31.4477873,-60.9308871,ChIJtSfkiz0TtZUR_tLvBYTHKF8
Agrim SRL,clothing_store,0,-31.4476478,-60.9311273,ChIJ-51vhD0TtZURJY_O2mjtZcM
Tecnohogar,home_goods_store,3,-31.4478401,-60.9306703,ChIJE2PXiz0TtZURTK_oDY-Pe8o
Maria T Calzados,shoe_store,5,-31.4475707,-60.9309135,ChIJNQYStooTtZURI7X97URtW9w
Narciso Bar,restaurant,249,-31.4476854,-60.9311889,ChIJYSNajD0TtZURVtHuQVvhHfI
Grafica Caussi Imprenta - Libreria,book_store,19,-31.4475995,-60.9311115,ChIJY_UUiz0TtZURp0Sox9Hq4JM
Asoc Mutual Bomberos Esperanza,bank,1,-31.4478702,-60.9306543,ChIJI1jGJxYTtZURW7Nh00ixMzI
Maitena Lenceria,clothing_store,5,-31.4475394,-60.9308932,ChIJAT9Kiz0TtZUREPJPcEuexpY
Tiny Bunny,clothing_store,0,-31.447074,-60.9309532,ChIJhQDnDYkTtZURGDuYJj5REwY
Gamati,shoe_store,5,-31.4469857,-60.9308276,ChIJRdu39z0TtZURGj3pbZGpIwU
ÓXIDO STORE,clothing_store,3,-31.4470107,-60.9307183,ChIJ70XvTAcTtZURJy-dsdvoK7M
Don Faustino - Vinos - Quesos - Fiambres,grocery_or_supermarket,16,-31.4472106,-60.930721,ChIJhTji9T0TtZURAXffQI_1EwI
Brotes Tienda Saludable,meal_delivery,3,-31.4462056,-60.9307934,ChIJWwvogQwTtZURT90DkdqsvZs
Service Esperanza,supermarket+grocery_or_supermarket,33,-31.446418,-60.9306525,ChIJlx2TARYTtZURlCH9KxgVC2Y
Brotes Tienda Saludable,meal_delivery,3,-31.4461888,-60.9308014,ChIJt-xEYFoTtZURFqnphgFHUfE
Heaven,clothing_store,0,-31.4466895,-60.9308511,ChIJCVkAAhYTtZURqtF6UtoRvXM
Casa Biby,clothing_store,0,-31.4461803,-60.9306472,ChIJDQfNqAUTtZURFzjY-V9n3Xo
Malibu,clothing_store,8,-31.446426,-60.9305339,ChIJdZLJARYTtZURSB66rj6TFy8
Memmeka,clothing_store,0,-31.4463281,-60.9305394,ChIJ31MGARYTtZURvWJFHy8Mcv8
Farmacia Mutual Jerárquicos - Esperanza,pharmacy,8,-31.4468309,-60.9308857,ChIJ26f9AhYTtZURT2BNuUhjLjY
FUROR Indumentaria y Accesorios Deportivos,clothing_store,7,-31.4457187,-60.9305667,ChIJrR7Q2qkTtZURokd03zXi8_Q
Perfiles,clothing_store,0,-31.4459106,-60.9306043,ChIJMbwX_xUTtZURspVlJDkmGJc
Shantu Generos,home_goods_store,2,-31.4455627,-60.9304854,ChIJj0KII50TtZUR45IOJ_PPgbQ
Ni Blanco Ni negro,clothing_store,0,-31.4458908,-60.930492,ChIJXVvzVLcTtZURTPZ1c9_I0yY
SETTES Almacén Natural Dietética,grocery_or_supermarket,25,-31.4455039,-60.9304668,ChIJPfhZNrwTtZURiJSxcyxCZMs
Viviendas Bogao - Caso,real_estate_agency,0,-31.4456556,-60.930402,ChIJt-dk-RUTtZURYEr93XdW0DY
Isabella Salon Unisex,hair_care,1,-31.4538218,-60.9298486,ChIJZ_CUiRgTtZUR0DGhi25VwFk
Carniceria "El Cacho",butcher_shop,0,-31.4538623,-60.9298428,ChIJ8zY0iBgTtZURMLaDz1mrCrk
Sanatorio Medico Quirurgico Santa Fe SRL,doctor,0,-31.4526789,-60.9302585,ChIJDfb30xcTtZURDNuDIll7Wvo
La vida es como un espejo,bakery,0,-31.4523448,-60.9303666,ChIJz466ycsTtZURXzGJNgtQQO8
Veterinaria hocikos,veterinary_care,50,-31.4523622,-60.9304401,ChIJW6aBDBgTtZUR8PGikcQoNgg
Kibou Viajes,travel_agency,1,-31.4525454,-60.9304019,ChIJbyW5CpgTtZURf-NeAi9jDaQ
